127.0.0.1 - - [15/Dec/2020:09:05:45 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:05:45 +0900] "GET /learning/main/Certification.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:05:46 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:11:36 +0900] "GET /learning/main/join.jsp HTTP/1.1" 200 5129
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:11:36 +0900] "GET /learning/js/memberJoinCheck.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:11:36 +0900] "GET /learning/js/jquery-3.5.1.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:11:36 +0900] "GET /learning/js/memberJoinCheck.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:17:02 +0900] "GET /learning/main/join.jsp HTTP/1.1" 200 5199
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:17:02 +0900] "GET /learning/js/memberJoinCheck.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:17:02 +0900] "GET /learning/js/jquery-3.5.1.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:17:02 +0900] "GET /learning/js/memberJoinCheck.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:18:32 +0900] "GET /learning/main/join.jsp HTTP/1.1" 200 5200
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:18:32 +0900] "GET /learning/js/jquery-3.5.1.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:18:32 +0900] "GET /learning/js/memberJoinCheck.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:18:49 +0900] "GET /learning/main/join.jsp HTTP/1.1" 200 5199
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:18:49 +0900] "GET /learning/js/jquery-3.5.1.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:18:49 +0900] "GET /learning/js/memberJoinCheck.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:18:49 +0900] "GET /learning/js/memberJoinCheck.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:19:45 +0900] "GET /learning/main/join.jsp HTTP/1.1" 200 5215
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:19:45 +0900] "GET /learning/js/memberJoinCheck.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:19:45 +0900] "GET /learning/js/jquery-3.5.1.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:20:03 +0900] "GET /learning/main/join.jsp HTTP/1.1" 200 5215
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:20:03 +0900] "GET /learning/js/memberJoinCheck.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:20:03 +0900] "GET /learning/js/jquery-3.5.1.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:20:04 +0900] "GET /learning/main/join.jsp HTTP/1.1" 200 5215
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:20:04 +0900] "GET /learning/js/jquery-3.5.1.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:20:04 +0900] "GET /learning/js/memberJoinCheck.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:20:04 +0900] "GET /learning/js/memberJoinCheck.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:20:04 +0900] "GET /learning/main/join.jsp HTTP/1.1" 200 5215
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:20:04 +0900] "GET /learning/js/memberJoinCheck.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:20:04 +0900] "GET /learning/js/jquery-3.5.1.min.js HTTP/1.1" 404 1113
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:20:04 +0900] "GET /learning/js/memberJoinCheck.js HTTP/1.1" 404 1112
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:20:04 +0900] "GET /learning/main/join.jsp HTTP/1.1" 200 5215
0:0:0:0:0:0:0:1 - - [15/Dec/2020:09:20:04 +0900] "GET /learning/js/jquery-3.5.1.min.js HTTP/1.1" 404 1113
