127.0.0.1 - - [17/Dec/2020:09:13:56 +0900] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:13:58 +0900] "GET /learning/main/quiz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:09:13:59 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Dec/2020:10:10:55 +0900] "GET /learning/main/quiz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:10:14:32 +0900] "GET /learning/main/quiz.html HTTP/1.1" 200 10082
0:0:0:0:0:0:0:1 - - [17/Dec/2020:10:14:54 +0900] "GET /learning/main/quiz.html HTTP/1.1" 200 10100
0:0:0:0:0:0:0:1 - - [17/Dec/2020:10:15:49 +0900] "GET /learning/main/quiz.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Dec/2020:10:15:50 +0900] "GET /learning/main/quiz.html HTTP/1.1" 200 10100
0:0:0:0:0:0:0:1 - - [17/Dec/2020:10:15:50 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Dec/2020:10:15:51 +0900] "GET /learning/main/quiz.html HTTP/1.1" 200 10100
0:0:0:0:0:0:0:1 - - [17/Dec/2020:10:15:51 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Dec/2020:10:15:52 +0900] "GET /learning/main/quiz.html HTTP/1.1" 200 10100
0:0:0:0:0:0:0:1 - - [17/Dec/2020:10:15:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Dec/2020:10:15:52 +0900] "GET /learning/main/quiz.html HTTP/1.1" 200 10100
0:0:0:0:0:0:0:1 - - [17/Dec/2020:10:15:52 +0900] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Dec/2020:10:15:52 +0900] "GET /learning/main/quiz.html HTTP/1.1" 200 10100
